FECHA (YYMMDD),HORA (HHMM),Registros validados,Registros preliminares,Registros no validados
140110,800,6,,
140110,900,4,,
140110,1000,4,,
140110,1100,4,,
140110,1200,4,,
140110,1300,4,,
140110,1400,4,,
140110,1500,4,,
140110,1600,4,,
140110,1700,4,,
140110,1800,4,,
140110,1900,4,,
140110,2000,4,,
140110,2100,11,,
140110,2200,21,,
140110,2300,7,,
140111,0,5,,
140111,100,4,,
140111,200,4,,
140111,300,4,,
140111,400,4,,
140111,500,4,,
140111,600,6,,
140111,700,4,,
140111,800,4,,
140111,900,4,,
140111,1000,4,,
140111,1100,4,,
140111,1200,4,,
140111,1300,4,,
140111,1400,4,,
140111,1500,4,,
140111,1600,4,,
140111,1700,4,,
140111,1800,5,,
140111,1900,6,,
140111,2000,7,,
140111,2100,7,,
140111,2200,11,,
140111,2300,8,,
140112,0,6,,
140112,100,7,,
140112,200,5,,
140112,300,4,,
140112,400,4,,
140112,500,4,,
140112,600,5,,
140112,700,7,,
140112,800,5,,
140112,900,4,,
140112,1000,5,,
140112,1100,4,,
140112,1200,4,,
140112,1300,4,,
140112,1400,4,,
140112,1500,4,,
140112,1600,4,,
140112,1700,5,,
140112,1800,9,,
140112,1900,8,,
140112,2000,8,,
140112,2100,6,,
140112,2200,4,,
140112,2300,4,,
140113,0,4,,
140113,100,4,,
140113,200,4,,
140113,300,4,,
140113,400,4,,
140113,500,4,,
140113,600,4,,
140113,700,4,,
140113,800,4,,
140113,900,7,,
140113,1000,4,,
140113,1100,4,,
140113,1200,4,,
140113,1300,4,,
140113,1400,4,,
140113,1500,4,,
140113,1600,4,,
140113,1700,4,,
140113,1800,4,,
140113,1900,4,,
140113,2000,4,,
140113,2100,4,,
140113,2200,4,,
140113,2300,4,,
140114,0,4,,
140114,100,4,,
140114,200,4,,
140114,300,4,,
140114,400,4,,
140114,500,4,,
140114,600,4,,
140114,700,4,,
140114,800,4,,
140114,900,4,,
140114,1000,4,,
140114,1100,4,,
140114,1200,4,,
140114,1300,4,,
140114,1400,4,,
140114,1500,4,,
140114,1600,4,,
140114,1700,4,,
140114,1800,4,,
140114,1900,6,,
140114,2000,8,,
140114,2100,9,,
140114,2200,13,,
140114,2300,8,,
140115,0,5,,
140115,100,5,,
140115,200,26,,
140115,300,16,,
140115,400,5,,
140115,500,6,,
140115,600,7,,
140115,700,11,,
140115,800,7,,
140115,900,5,,
140115,1000,4,,
140115,1100,4,,
140115,1200,4,,
140115,1300,4,,
140115,1400,4,,
140115,1500,5,,
140115,1600,5,,
140115,1700,5,,
140115,1800,6,,
140115,1900,18,,
140115,2000,19,,
140115,2100,18,,
140115,2200,19,,
140115,2300,16,,
140116,0,10,,
140116,100,12,,
140116,200,14,,
140116,300,18,,
140116,400,9,,
140116,500,9,,
140116,600,14,,
140116,700,17,,
140116,800,5,,
140116,900,7,,
140116,1000,13,,
140116,1100,12,,
140116,1200,8,,
140116,1300,8,,
140116,1400,16,,
140116,1500,18,,
140116,1600,14,,
140116,1700,9,,
140116,1800,10,,
140116,1900,17,,
140116,2000,9,,
140116,2100,12,,
140116,2200,10,,
140116,2300,7,,
140117,0,5,,
140117,100,6,,
140117,200,4,,
140117,300,4,,
140117,400,7,,
140117,500,4,,
140117,600,4,,
140117,700,6,,
140117,800,16,,
140117,900,22,,
140117,1000,24,,
140117,1100,62,,
140117,1200,28,,
140117,1300,9,,
140117,1400,5,,
140117,1500,5,,
140117,1600,7,,
140117,1700,4,,
140117,1800,5,,
140117,1900,6,,
140117,2000,7,,
140117,2100,,,
140117,2200,,,
140117,2300,,,
140118,0,,,
140118,100,,,
140118,200,,,
140118,300,,,
140118,400,,,
140118,500,,,
140118,600,,,
140118,700,,,
140118,800,,,
140118,900,,,
140118,1000,,,
140118,1100,,,
140118,1200,,,922
140118,1300,4,,
140118,1400,4,,
140118,1500,5,,
140118,1600,5,,
140118,1700,6,,
140118,1800,7,,
140118,1900,9,,
140118,2000,8,,
140118,2100,7,,
140118,2200,7,,
140118,2300,11,,
140119,0,7,,
140119,100,8,,
140119,200,6,,
140119,300,4,,
140119,400,7,,
140119,500,10,,
140119,600,10,,
140119,700,7,,
140119,800,5,,
140119,900,4,,
140119,1000,4,,
140119,1100,4,,
140119,1200,10,,
140119,1300,9,,
140119,1400,6,,
140119,1500,7,,
140119,1600,6,,
140119,1700,4,,
140119,1800,4,,
140119,1900,4,,
140119,2000,7,,
140119,2100,6,,
140119,2200,5,,
140119,2300,7,,
140120,0,6,,
140120,100,4,,
140120,200,4,,
140120,300,4,,
140120,400,4,,
140120,500,5,,
140120,600,7,,
140120,700,12,,
140120,800,14,,
140120,900,12,,
140120,1000,9,,
140120,1100,9,,
140120,1200,8,,
140120,1300,7,,
140120,1400,5,,
140120,1500,6,,
140120,1600,4,,
140120,1700,4,,
140120,1800,4,,
140120,1900,5,,
140120,2000,5,,
140120,2100,4,,
140120,2200,4,,
140120,2300,4,,
140121,0,4,,
140121,100,4,,
140121,200,4,,
140121,300,7,,
140121,400,4,,
140121,500,4,,
140121,600,9,,
140121,700,5,,
140121,800,4,,
140121,900,4,,
140121,1000,5,,
140121,1100,4,,
140121,1200,4,,
140121,1300,7,,
140121,1400,4,,
140121,1500,7,,
140121,1600,5,,
140121,1700,4,,
140121,1800,4,,
140121,1900,5,,
140121,2000,4,,
140121,2100,4,,
140121,2200,4,,
140121,2300,4,,
140122,0,4,,
140122,100,4,,
140122,200,4,,
140122,300,4,,
140122,400,4,,
140122,500,4,,
140122,600,4,,
140122,700,4,,
140122,800,4,,
140122,900,4,,
140122,1000,12,,
140122,1100,9,,
140122,1200,9,,
140122,1300,6,,
140122,1400,7,,
140122,1500,7,,
140122,1600,9,,
140122,1700,7,,
140122,1800,4,,
140122,1900,9,,
140122,2000,5,,
140122,2100,6,,
140122,2200,7,,
140122,2300,12,,
140123,0,6,,
140123,100,4,,
140123,200,4,,
140123,300,5,,
140123,400,4,,
140123,500,4,,
140123,600,4,,
140123,700,4,,
140123,800,4,,
140123,900,15,,
140123,1000,12,,
140123,1100,7,,
140123,1200,4,,
140123,1300,4,,
140123,1400,4,,
140123,1500,4,,
140123,1600,7,,
140123,1700,5,,
140123,1800,4,,
140123,1900,4,,
140123,2000,4,,
140123,2100,10,,
140123,2200,21,,
140123,2300,18,,
140124,0,18,,
140124,100,12,,
140124,200,7,,
140124,300,8,,
140124,400,6,,
140124,500,5,,
140124,600,23,,
140124,700,14,,
140124,800,7,,
140124,900,4,,
140124,1000,4,,
140124,1100,4,,
140124,1200,4,,
140124,1300,4,,
140124,1400,4,,
140124,1500,4,,
140124,1600,4,,
140124,1700,4,,
140124,1800,4,,
140124,1900,4,,
140124,2000,5,,
140124,2100,12,,
140124,2200,8,,
140124,2300,5,,
140125,0,5,,
140125,100,4,,
140125,200,4,,
140125,300,7,,
140125,400,4,,
140125,500,4,,
140125,600,8,,
140125,700,9,,
140125,800,4,,
140125,900,4,,
140125,1000,4,,
140125,1100,9,,
140125,1200,5,,
140125,1300,4,,
140125,1400,4,,
140125,1500,4,,
140125,1600,4,,
140125,1700,4,,
140125,1800,4,,
140125,1900,6,,
140125,2000,10,,
140125,2100,6,,
140125,2200,10,,
140125,2300,7,,
140126,0,5,,
140126,100,5,,
140126,200,5,,
140126,300,4,,
140126,400,4,,
140126,500,7,,
140126,600,4,,
140126,700,9,,
140126,800,5,,
140126,900,5,,
140126,1000,6,,
140126,1100,7,,
140126,1200,5,,
140126,1300,5,,
140126,1400,4,,
140126,1500,4,,
140126,1600,4,,
140126,1700,5,,
140126,1800,4,,
140126,1900,4,,
140126,2000,4,,
140126,2100,6,,
140126,2200,6,,
140126,2300,9,,
140127,0,5,,
140127,100,4,,
140127,200,4,,
140127,300,4,,
140127,400,4,,
140127,500,6,,
140127,600,7,,
140127,700,7,,
140127,800,6,,
140127,900,4,,
140127,1000,4,,
140127,1100,4,,
140127,1200,4,,
140127,1300,4,,
140127,1400,4,,
140127,1500,4,,
140127,1600,5,,
140127,1700,4,,
140127,1800,6,,
140127,1900,4,,
140127,2000,7,,
140127,2100,7,,
140127,2200,6,,
140127,2300,5,,
140128,0,5,,
140128,100,7,,
140128,200,5,,
140128,300,4,,
140128,400,5,,
140128,500,9,,
140128,600,6,,
140128,700,7,,
140128,800,9,,
140128,900,5,,
140128,1000,9,,
140128,1100,6,,
140128,1200,4,,
140128,1300,4,,
140128,1400,4,,
140128,1500,4,,
140128,1600,4,,
140128,1700,4,,
140128,1800,4,,
140128,1900,4,,
140128,2000,8,,
140128,2100,11,,
140128,2200,8,,
140128,2300,5,,
140129,0,4,,
140129,100,5,,
140129,200,4,,
140129,300,4,,
140129,400,5,,
140129,500,4,,
140129,600,21,,
140129,700,7,,
140129,800,6,,
140129,900,4,,
140129,1000,4,,
140129,1100,6,,
140129,1200,4,,
140129,1300,4,,
140129,1400,4,,
140129,1500,4,,
140129,1600,4,,
140129,1700,4,,
140129,1800,4,,
140129,1900,5,,
140129,2000,5,,
140129,2100,5,,
140129,2200,6,,
140129,2300,4,,
140130,0,4,,
140130,100,5,,
140130,200,4,,
140130,300,4,,
140130,400,4,,
140130,500,4,,
140130,600,4,,
140130,700,4,,
140130,800,4,,
140130,900,4,,
140130,1000,4,,
140130,1100,4,,
140130,1200,4,,
140130,1300,5,,
140130,1400,8,,
140130,1500,4,,
140130,1600,4,,
140130,1700,5,,
140130,1800,7,,
140130,1900,12,,
140130,2000,14,,
140130,2100,11,,
140130,2200,7,,
140130,2300,5,,
140131,0,4,,
140131,100,4,,
140131,200,4,,
140131,300,4,,
140131,400,4,,
140131,500,4,,
140131,600,4,,
140131,700,4,,
140131,800,4,,
140131,900,4,,
140131,1000,4,,
140131,1100,4,,
140131,1200,4,,
140131,1300,4,,
140131,1400,4,,
140131,1500,4,,
140131,1600,4,,
140131,1700,4,,
140131,1800,4,,
140131,1900,4,,
140131,2000,4,,
140131,2100,5,,
140131,2200,9,,
140131,2300,7,,
140201,0,5,,
140201,100,13,,
140201,200,12,,
140201,300,9,,
140201,400,8,,
140201,500,7,,
140201,600,19,,
140201,700,7,,
140201,800,12,,
140201,900,7,,
140201,1000,4,,
140201,1100,4,,
140201,1200,4,,
140201,1300,4,,
140201,1400,4,,
140201,1500,4,,
140201,1600,4,,
140201,1700,4,,
140201,1800,4,,
140201,1900,4,,
140201,2000,4,,
140201,2100,4,,
140201,2200,13,,
140201,2300,14,,
140202,0,7,,
140202,100,7,,
140202,200,7,,
140202,300,4,,
140202,400,4,,
140202,500,4,,
140202,600,4,,
140202,700,4,,
140202,800,4,,
140202,900,5,,
140202,1000,9,,
140202,1100,5,,
140202,1200,6,,
140202,1300,4,,
140202,1400,4,,
140202,1500,4,,
140202,1600,6,,
140202,1700,9,,
140202,1800,8,,
140202,1900,12,,
140202,2000,11,,
140202,2100,33,,
140202,2200,31,,
140202,2300,4,,
140203,0,4,,
140203,100,4,,
140203,200,4,,
140203,300,4,,
140203,400,4,,
140203,500,4,,
140203,600,11,,
140203,700,11,,
140203,800,9,,
140203,900,4,,
140203,1000,4,,
140203,1100,4,,
140203,1200,6,,
140203,1300,7,,
140203,1400,4,,
140203,1500,4,,
140203,1600,4,,
140203,1700,4,,
140203,1800,5,,
140203,1900,4,,
140203,2000,4,,
140203,2100,10,,
140203,2200,10,,
140203,2300,14,,
140204,0,12,,
140204,100,13,,
140204,200,9,,
140204,300,4,,
140204,400,6,,
140204,500,7,,
140204,600,5,,
140204,700,18,,
140204,800,6,,
140204,900,12,,
140204,1000,7,,
140204,1100,4,,
140204,1200,4,,
140204,1300,7,,
140204,1400,4,,
140204,1500,4,,
140204,1600,4,,
140204,1700,4,,
140204,1800,4,,
140204,1900,4,,
140204,2000,4,,
140204,2100,4,,
140204,2200,4,,
140204,2300,4,,
140205,0,4,,
140205,100,4,,
140205,200,4,,
140205,300,4,,
140205,400,4,,
140205,500,4,,
140205,600,19,,
140205,700,8,,
140205,800,6,,
140205,900,7,,
140205,1000,7,,
140205,1100,6,,
140205,1200,4,,
140205,1300,4,,
140205,1400,4,,
140205,1500,4,,
140205,1600,4,,
140205,1700,4,,
140205,1800,4,,
140205,1900,4,,
140205,2000,7,,
140205,2100,6,,
140205,2200,5,,
140205,2300,18,,
140206,0,22,,
140206,100,6,,
140206,200,7,,
140206,300,6,,
140206,400,4,,
140206,500,4,,
140206,600,14,,
140206,700,15,,
140206,800,14,,
140206,900,10,,
140206,1000,9,,
140206,1100,9,,
140206,1200,5,,
140206,1300,4,,
140206,1400,4,,
140206,1500,5,,
140206,1600,4,,
140206,1700,4,,
140206,1800,4,,
140206,1900,4,,
140206,2000,4,,
140206,2100,5,,
140206,2200,7,,
140206,2300,4,,
140207,0,4,,
140207,100,4,,
140207,200,4,,
140207,300,4,,
140207,400,4,,
140207,500,4,,
140207,600,4,,
140207,700,4,,
140207,800,5,,
140207,900,13,,
140207,1000,7,,
140207,1100,13,,
140207,1200,9,,
140207,1300,6,,
140207,1400,7,,
140207,1500,6,,
140207,1600,4,,
140207,1700,4,,
140207,1800,4,,
140207,1900,4,,
140207,2000,7,,
140207,2100,16,,
140207,2200,10,,
140207,2300,14,,
140208,0,22,,
140208,100,12,,
140208,200,8,,
140208,300,5,,
140208,400,5,,
140208,500,7,,
140208,600,5,,
140208,700,16,,
140208,800,9,,
140208,900,5,,
140208,1000,6,,
140208,1100,4,,
140208,1200,4,,
140208,1300,7,,
140208,1400,4,,
140208,1500,4,,
140208,1600,4,,
140208,1700,4,,
140208,1800,4,,
140208,1900,5,,
140208,2000,6,,
140208,2100,5,,
140208,2200,8,,
140208,2300,12,,
140209,0,11,,
140209,100,12,,
140209,200,9,,
140209,300,7,,
140209,400,4,,
140209,500,4,,
140209,600,4,,
140209,700,8,,
140209,800,11,,
140209,900,8,,
140209,1000,9,,
140209,1100,7,,
140209,1200,4,,
140209,1300,4,,
140209,1400,4,,
140209,1500,4,,
140209,1600,4,,
140209,1700,4,,
140209,1800,4,,
140209,1900,7,,
140209,2000,8,,
140209,2100,5,,
140209,2200,4,,
140209,2300,8,,
140210,0,7,,
140210,100,4,,
140210,200,9,,
140210,300,5,,
140210,400,4,,
140210,500,5,,
140210,600,5,,
140210,700,4,,
140210,800,6,,
140210,900,8,,
140210,1000,6,,
140210,1100,5,,
140210,1200,5,,
140210,1300,4,,
140210,1400,4,,
140210,1500,4,,
140210,1600,4,,
140210,1700,4,,
140210,1800,5,,
140210,1900,9,,
140210,2000,9,,
140210,2100,9,,
140210,2200,7,,
140210,2300,4,,
140211,0,4,,
140211,100,4,,
140211,200,4,,
140211,300,4,,
140211,400,4,,
140211,500,4,,
140211,600,4,,
140211,700,4,,
140211,800,5,,
140211,900,4,,
140211,1000,5,,
140211,1100,8,,
140211,1200,6,,
140211,1300,13,,
140211,1400,8,,
140211,1500,7,,
140211,1600,4,,
140211,1700,6,,
140211,1800,6,,
140211,1900,5,,
140211,2000,7,,
140211,2100,7,,
140211,2200,5,,
140211,2300,10,,
140212,0,7,,
140212,100,4,,
140212,200,4,,
140212,300,5,,
140212,400,6,,
140212,500,4,,
140212,600,7,,
140212,700,6,,
140212,800,7,,
140212,900,7,,
140212,1000,4,,
140212,1100,4,,
140212,1200,4,,
140212,1300,4,,
140212,1400,4,,
140212,1500,4,,
140212,1600,9,,
140212,1700,13,,
140212,1800,10,,
140212,1900,11,,
140212,2000,10,,
140212,2100,16,,
140212,2200,16,,
140212,2300,10,,
140213,0,10,,
140213,100,6,,
140213,200,11,,
140213,300,8,,
140213,400,5,,
140213,500,7,,
140213,600,24,,
140213,700,20,,
140213,800,14,,
140213,900,14,,
140213,1000,13,,
140213,1100,8,,
140213,1200,4,,
140213,1300,4,,
140213,1400,4,,
140213,1500,7,,
140213,1600,5,,
140213,1700,4,,
140213,1800,7,,
140213,1900,9,,
140213,2000,25,,
140213,2100,16,,
140213,2200,16,,
140213,2300,12,,
140214,0,15,,
140214,100,16,,
140214,200,12,,
140214,300,10,,
140214,400,8,,
140214,500,13,,
140214,600,12,,
140214,700,19,,
140214,800,16,,
140214,900,6,,
140214,1000,6,,
140214,1100,4,,
140214,1200,4,,
140214,1300,4,,
140214,1400,4,,
140214,1500,4,,
140214,1600,7,,
140214,1700,9,,
140214,1800,10,,
140214,1900,12,,
140214,2000,12,,
140214,2100,15,,
140214,2200,16,,
140214,2300,47,,
140215,0,33,,
140215,100,94,,
140215,200,32,,
140215,300,11,,
140215,400,16,,
140215,500,8,,
140215,600,15,,
140215,700,20,,
140215,800,22,,
140215,900,11,,
140215,1000,7,,
140215,1100,4,,
140215,1200,4,,
140215,1300,4,,
140215,1400,4,,
140215,1500,4,,
140215,1600,5,,
140215,1700,5,,
140215,1800,5,,
140215,1900,12,,
140215,2000,14,,
140215,2100,14,,
140215,2200,9,,
140215,2300,5,,
140216,0,8,,
140216,100,7,,
140216,200,7,,
140216,300,7,,
140216,400,6,,
140216,500,7,,
140216,600,7,,
140216,700,6,,
140216,800,7,,
140216,900,16,,
140216,1000,11,,
140216,1100,12,,
140216,1200,9,,
140216,1300,5,,
140216,1400,8,,
140216,1500,7,,
140216,1600,7,,
140216,1700,7,,
140216,1800,14,,
140216,1900,7,,
140216,2000,7,,
140216,2100,10,,
140216,2200,8,,
140216,2300,9,,
140217,0,7,,
140217,100,5,,
140217,200,6,,
140217,300,6,,
140217,400,6,,
140217,500,4,,
140217,600,4,,
140217,700,4,,
140217,800,4,,
140217,900,12,,
140217,1000,13,,
140217,1100,7,,
140217,1200,8,,
140217,1300,10,,
140217,1400,8,,
140217,1500,5,,
140217,1600,9,,
140217,1700,7,,
140217,1800,12,,
140217,1900,9,,
140217,2000,7,,
140217,2100,5,,
140217,2200,9,,
140217,2300,5,,
140218,0,4,,
140218,100,4,,
140218,200,7,,
140218,300,5,,
140218,400,4,,
140218,500,4,,
140218,600,5,,
140218,700,11,,
140218,800,11,,
140218,900,9,,
140218,1000,10,,
140218,1100,14,,
140218,1200,9,,
140218,1300,9,,
140218,1400,5,,
140218,1500,4,,
140218,1600,5,,
140218,1700,7,,
140218,1800,8,,
140218,1900,9,,
140218,2000,10,,
140218,2100,9,,
140218,2200,16,,
140218,2300,10,,
140219,0,12,,
140219,100,12,,
140219,200,10,,
140219,300,8,,
140219,400,7,,
140219,500,7,,
140219,600,16,,
140219,700,15,,
140219,800,7,,
140219,900,9,,
140219,1000,12,,
140219,1100,9,,
140219,1200,7,,
140219,1300,5,,
140219,1400,4,,
140219,1500,6,,
140219,1600,7,,
140219,1700,12,,
140219,1800,13,,
140219,1900,10,,
140219,2000,20,,
140219,2100,14,,
140219,2200,14,,
140219,2300,7,,
140220,0,10,,
140220,100,12,,
140220,200,7,,
140220,300,7,,
140220,400,7,,
140220,500,7,,
140220,600,10,,
140220,700,14,,
140220,800,10,,
140220,900,15,,
140220,1000,10,,
140220,1100,10,,
140220,1200,9,,
140220,1300,11,,
140220,1400,11,,
140220,1500,6,,
140220,1600,5,,
140220,1700,10,,
140220,1800,13,,
140220,1900,9,,
140220,2000,12,,
140220,2100,13,,
140220,2200,12,,
140220,2300,11,,
140221,0,9,,
140221,100,7,,
140221,200,8,,
140221,300,7,,
140221,400,6,,
140221,500,5,,
140221,600,13,,
140221,700,20,,
140221,800,15,,
140221,900,15,,
140221,1000,9,,
140221,1100,7,,
140221,1200,10,,
140221,1300,9,,
140221,1400,10,,
140221,1500,7,,
140221,1600,7,,
140221,1700,10,,
140221,1800,10,,
140221,1900,12,,
140221,2000,14,,
140221,2100,12,,
140221,2200,15,,
140221,2300,13,,
140222,0,12,,
140222,100,10,,
140222,200,9,,
140222,300,15,,
140222,400,9,,
140222,500,10,,
140222,600,10,,
140222,700,20,,
140222,800,15,,
140222,900,16,,
140222,1000,12,,
140222,1100,10,,
140222,1200,8,,
140222,1300,5,,
140222,1400,5,,
140222,1500,5,,
140222,1600,7,,
140222,1700,7,,
140222,1800,12,,
140222,1900,14,,
140222,2000,18,,
140222,2100,8,,
140222,2200,14,,
140222,2300,9,,
140223,0,8,,
140223,100,9,,
140223,200,9,,
140223,300,6,,
140223,400,8,,
140223,500,7,,
140223,600,11,,
140223,700,14,,
140223,800,11,,
140223,900,10,,
140223,1000,8,,
140223,1100,10,,
140223,1200,9,,
140223,1300,6,,
140223,1400,5,,
140223,1500,4,,
140223,1600,4,,
140223,1700,4,,
140223,1800,7,,
140223,1900,9,,
140223,2000,12,,
140223,2100,12,,
140223,2200,14,,
140223,2300,10,,
140224,0,14,,
140224,100,9,,
140224,200,7,,
140224,300,9,,
140224,400,5,,
140224,500,11,,
140224,600,11,,
140224,700,26,,
140224,800,34,,
140224,900,,,71
140224,1000,,,926
140224,1100,15,,
140224,1200,6,,
140224,1300,6,,
140224,1400,4,,
140224,1500,4,,
140224,1600,4,,
140224,1700,7,,
140224,1800,12,,
140224,1900,14,,
140224,2000,21,,
140224,2100,20,,
140224,2200,24,,
140224,2300,18,,
140225,0,12,,
140225,100,10,,
140225,200,10,,
140225,300,15,,
140225,400,11,,
140225,500,13,,
140225,600,23,,
140225,700,31,,
140225,800,28,,
140225,900,24,,
140225,1000,20,,
140225,1100,17,,
140225,1200,16,,
140225,1300,12,,
140225,1400,7,,
140225,1500,6,,
140225,1600,18,,
140225,1700,16,,
140225,1800,16,,
140225,1900,10,,
140225,2000,18,,
140225,2100,18,,
140225,2200,16,,
140225,2300,9,,
140226,0,16,,
140226,100,15,,
140226,200,12,,
140226,300,10,,
140226,400,9,,
140226,500,9,,
140226,600,7,,
140226,700,12,,
140226,800,15,,
140226,900,12,,
140226,1000,16,,
140226,1100,21,,
140226,1200,11,,
140226,1300,17,,
140226,1400,15,,
140226,1500,12,,
140226,1600,13,,
140226,1700,12,,
140226,1800,9,,
140226,1900,12,,
140226,2000,10,,
140226,2100,7,,
140226,2200,6,,
140226,2300,11,,
140227,0,8,,
140227,100,7,,
140227,200,5,,
140227,300,5,,
140227,400,5,,
140227,500,9,,
140227,600,8,,
140227,700,12,,
140227,800,14,,
140227,900,12,,
140227,1000,14,,
140227,1100,16,,
140227,1200,16,,
140227,1300,15,,
140227,1400,17,,
140227,1500,18,,
140227,1600,11,,
140227,1700,10,,
140227,1800,11,,
140227,1900,21,,
140227,2000,23,,
140227,2100,16,,
140227,2200,13,,
140227,2300,16,,
140228,0,24,,
140228,100,17,,
140228,200,8,,
140228,300,7,,
140228,400,6,,
140228,500,9,,
140228,600,18,,
140228,700,26,,
140228,800,22,,
140228,900,20,,
140228,1000,17,,
140228,1100,22,,
140228,1200,12,,
140228,1300,11,,
140228,1400,8,,
140228,1500,7,,
140228,1600,11,,
140228,1700,13,,
140228,1800,11,,
140228,1900,11,,
140228,2000,26,,
140228,2100,14,,
140228,2200,14,,
140228,2300,8,,
140301,0,11,,
140301,100,16,,
140301,200,11,,
140301,300,8,,
140301,400,5,,
140301,500,8,,
140301,600,15,,
140301,700,19,,
140301,800,16,,
140301,900,6,,
140301,1000,8,,
140301,1100,8,,
140301,1200,12,,
140301,1300,6,,
140301,1400,4,,
140301,1500,6,,
140301,1600,7,,
140301,1700,14,,
140301,1800,22,,
140301,1900,22,,
140301,2000,18,,
140301,2100,18,,
140301,2200,18,,
140301,2300,14,,
140302,0,14,,
140302,100,13,,
140302,200,9,,
140302,300,12,,
140302,400,11,,
140302,500,8,,
140302,600,13,,
140302,700,15,,
140302,800,13,,
140302,900,10,,
140302,1000,13,,
140302,1100,12,,
140302,1200,9,,
140302,1300,11,,
140302,1400,11,,
